id,ident,Type,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated,is_heliport,elevation_level
30931,VNDG,Airport,small_airport,Tulsipur Airport,28.111099,82.294197,2100,AS,Nepal,NP,Lumbini Province,NP-P5,P5,Dang,0,VNDG,VNDG,DNP,,,https://en.wikipedia.org/wiki/Dang_Airport,,50,2024-05-17T08:38:14+00:00,0,Low
30913,VNDH,Airport,small_airport,Dhangarhi Airport,28.755283,80.583398,690,AS,Nepal,NP,Sudurpashchim Province,NP-P7,P7,Dhangarhi,0,VNDH,VNDH,DHI,,,https://en.wikipedia.org/wiki/Dhangadhi_Airport,,50,2023-01-17T13:11:13+00:00,0,Low
31802,VNLD,Airport,small_airport,Lamidanda Airport,27.253099,86.669998,4100,AS,Nepal,NP,Koshi Province,NP-P1,P1,Lamidanda,0,VNLD,VNLD,LDN,,,https://en.wikipedia.org/wiki/Lamidanda_Airport,,50,2024-05-17T08:38:40+00:00,0,Medium
31856,VNLT,Airport,small_airport,Langtang Airport,28.20000076,85.58300018,12000,AS,Nepal,NP,Bagmati Province,NP-P3,P3,Langtang,0,VNLT,VNLT,LTG,,,,,50,2008-12-30T09:26:01+00:00,0,High
315124,VNSB,Airport,small_airport,Syangboche Airport,27.8112,86.7124,12400,AS,Nepal,NP,Koshi Province,NP-P1,P1,Namche Bazaar,0,VNSB,VNSB,SYH,,,https://en.wikipedia.org/wiki/Syangboche_Airport,Syanboche,50,2021-12-21T18:17:14+00:00,0,High
350891,NP-0004,Heliport,heliport,Hotel Everest View Heliport,27.8156,86.72319,12623,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khumjung,0,,,,,,,,0,2021-12-21T18:19:29+00:00,1,High
350897,NP-0010,Heliport,heliport,Tengboche Heliport,27.83571,86.76515,12648,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khumjung,0,,,,,,,,0,2021-12-21T18:30:09+00:00,1,High
350894,NP-0007,Heliport,heliport,Mount Everest Base Camp Heliport,28.00369,86.85324,17372,AS,Nepal,NP,Koshi Province,NP-P1,P1,Khumjung,0,,,,,,,,0,2021-12-21T18:25:10+00:00,1,High
350900,NP-0013,Nepal,heliport,Thame Helipad Solukhumbu Nepal,27.83057,86.65257,12408,AS,Nepal,NP,Koshi Province,NP-P1,P1,Namche,0,,,,,,,,0,2021-12-21T18:32:26+00:00,1,High
350899,NP-0012,Heliport,heliport,Namche Bazar Heliport,27.80332,86.70641,11512,AS,Nepal,NP,Koshi Province,NP-P1,P1,Namche,0,,,,,,,,0,2021-12-21T18:31:27+00:00,1,High
351650,NP-0017,Heliport,heliport,Pathibhara Devi Temple Heliport,27.42868,87.76665,12398,AS,Nepal,NP,Koshi Province,NP-P1,P1,Taplejung,0,,,,,,,,0,2022-01-19T23:54:29+00:00,1,High
